Referencia,Fecha Alta,Tipo,Operación,Departamento,Area (m2),Precio Venta/Alquiler,Fecha Venta,Vendedor
1,42370,parqueadero,Alquiler,Boyacá,291,213390300,42540,Carmen
2,42370,Local,Venta,Norte de Santander,199,194542400,42479,Pedro
3,42370,Oficina,Alquiler,Norte de Santander,82,71241600,42682,Joaquín
4,42371,parqueadero,Alquiler,Norte de Santander,285,181545000,42487,Jesús
5,42371,lote,Venta,Meta,152,113802400,42561,María
6,42372,Industrial,Alquiler,Norte de Santander,131,95315600,42618,Pedro
7,42372,parqueadero,Alquiler,Meta,69,40668600,42528,Pedro
8,42372,Oficina,Venta,Norte de Santander,235,215847500,42674,Jesús
9,42373,apartamento,Alquiler,Boyacá,108,102438000,42732,Jesús
10,42373,parqueadero,Venta,Boyacá,299,204276800,42649,Joaquín
11,42373,Oficina,Alquiler,Norte de Santander,124,62706800,42671,Pedro
12,42373,Industrial,Venta,Norte de Santander,187,99932800,42465,Carmen
13,42373,parqueadero,Venta,Cundinamarca,300,293730000,42678,Jesús
14,42373,Local,Venta,Meta,68,66470000,42644,Carmen
15,42373,Industrial,Alquiler,Norte de Santander,176,82033600,42703,Pedro
16,42374,Casa,Alquiler,Norte de Santander,179,93796000,42695,Carmen
17,42374,Casa,Alquiler,Meta,58,35884600,42651,Luisa
18,42375,lote,Venta,Cundinamarca,283,167960500,42527,Carmen
19,42376,apartamento,Alquiler,Norte de Santander,55,47261500,42469,Luisa
20,42377,Oficina,Alquiler,Cundinamarca,148,116949600,42601,María
21,42378,Industrial,Venta,Cundinamarca,228,202099200,42533,Carmen
22,42378,Oficina,Alquiler,Boyacá,116,72755200,42474,Pedro
23,42379,Casa,Alquiler,Norte de Santander,183,143892900,42481,Luisa
24,42379,Oficina,Alquiler,Meta,79,42739000,42705,Joaquín
25,42379,Oficina,Alquiler,Cundinamarca,124,117068400,42513,Jesús
26,42379,Local,Alquiler,Meta,70,54978000,42543,Jesús
27,42380,Local,Alquiler,Meta,70,65933000,42727,Pedro
28,42381,Casa,Alquiler,Cundinamarca,187,166056000,42537,Joaquín
29,42381,Casa,Alquiler,Meta,91,75357100,42558,Luisa
30,42381,Local,Alquiler,Meta,201,93907200,42586,Carmen
31,42382,Industrial,Alquiler,Cundinamarca,142,140537400,42637,Jesús
32,42382,Casa,Alquiler,Norte de Santander,92,62734800,42472,María
33,42384,Local,Alquiler,Cundinamarca,181,150411000,42554,María
34,42384,Casa,Venta,Cundinamarca,281,248319700,42675,María
35,42384,Industrial,Alquiler,Meta,257,179977100,42735,Luisa
36,42385,Industrial,Alquiler,Meta,140,105434000,42706,Luisa
37,42385,Local,Venta,Norte de Santander,229,116057200,42560,Pedro
38,42386,lote,Alquiler,Meta,300,149280000,42712,Joaquín
39,42387,parqueadero,Alquiler,Meta,215,115498000,42749,Joaquín
40,42387,Oficina,Venta,Norte de Santander,182,105778400,42573,Jesús
41,42387,apartamento,Venta,Cundinamarca,230,142186000,42636,Jesús
42,42388,Oficina,Venta,Meta,168,142699200,42694,Jesús
43,42388,Oficina,Alquiler,Norte de Santander,74,57971600,42635,María
